country,count,population_2021,titles_per_million
United States of America,3689,331002651.0,111.44925845322005
India,1046,1393409038.0,7.506769164504299
United Kingdom,804,68207116.0,117.87626381974573
Canada,445,38005238.0,117.08912334662922
France,393,67391582.0,58.31588877079633
Japan,318,125836021.0,25.27098341737935
Spain,232,47351567.0,48.99521065480262
"Korea, Republic of",231,51709098.0,44.67298965454783
Germany,226,83240525.0,27.150237219191013
Mexico,169,126014024.0,13.41120572421368
China,162,1411778724.0,1.1474886060118865
Australia,160,25788216.0,62.0438420401008
"Egypt, Arab Republic of",117,109262178.0,10.708188518812063
Turkey,113,85652000.0,13.192920188670433
Hong Kong,105,7474200.0,140.4832624227342
Nigeria,103,213401323.0,4.826586759258283
Italy,100,59554023.0,16.791476874702486
Brazil,97,213993437.0,4.532849294812719
Argentina,91,45605823.0,19.95359232964615
Belgium,90,11589623.0,77.65567525362991
Indonesia,90,273753191.0,3.2876329101858763
Taiwan,89,23568378.0,37.76246290686614
Philippines,83,111046913.0,7.474318534185637
Thailand,70,69950850.0,10.007026362081376
South Africa,62,59308690.0,10.453780044711829
Colombia,52,51516562.0,10.093841277684641
Netherlands,50,17441139.0,28.667852483716803
Denmark,48,5831404.0,82.31293870224049
Ireland,46,4994724.0,92.0971809453335
Sweden,42,10160101.0,41.3381717366786
Singapore,41,5637000.0,72.73372361185027
Poland,40,37750000.0,10.596026490066224
United Arab Emirates,37,9770529.0,37.86898334777984
New Zealand,33,5084300.0,64.90569006549575
Lebanon,31,5540720.0,55.949407297246566
Norway,30,5421241.0,55.33788296812482
Israel,30,9216900.0,32.548904729355854
Chile,29,19116209.0,15.170371907944718
Russian Federation,27,143446060.0,1.8822406136494791
Malaysia,26,32776000.0,7.93263363436661
Pakistan,24,231402117.0,1.0371555935246695
Czechia,22,10708981.0,20.543504559397388
Switzerland,19,8715490.0,21.80026596324475
Romania,14,19286123.0,7.259105419995507
Uruguay,14,3426260.0,40.86088037685407
Saudi Arabia,13,35840452.0,3.6271863982072547
Austria,12,8917205.0,13.457131466642293
Luxembourg,12,634814.0,189.0317478820568
Iceland,11,343599.0,320.14062904723244
Greece,11,10718565.0,10.26256779708851
Finland,11,5536146.0,19.869418183696748
Hungary,11,9607780.0,11.449054828482751
Qatar,10,2930520.0,34.12363676071141
Peru,10,33050325.0,3.025688854799461
Bulgaria,10,6896662.0,14.499768148707302
Jordan,9,10203140.0,8.82081398471451
Kuwait,8,4270563.0,18.73289306351411
Serbia,7,6643300.0,10.536931946472384
Viet Nam,7,98168829.0,0.7130572984628348
Kenya,6,47564296.0,1.2614503954815184
Portugal,6,10305564.0,5.82209765520839
Morocco,6,36910558.0,1.6255511498905002
West Germany,5,78288576.0,0.6386627852319092
Ghana,5,31072945.0,1.6091168699973564
Cambodia,5,16718971.0,2.9906146735944454
Croatia,4,4105267.0,9.743580624597621
"Iran, Islamic Republic of",4,85028760.0,0.4704290642366183
"Venezuela, Bolivarian Republic of",4,28301498.0,1.4133527490311644
Bangladesh,4,166303498.0,0.24052410491089007
Malta,3,514564.0,58.30178558935332
Senegal,3,16743930.0,1.791694064655072
Algeria,3,44700000.0,0.6711409395973155
Soviet Union,3,286700000.0,0.10463899546564354
Slovenia,3,2107000.0,14.23825344091125
Zimbabwe,3,15000000.0,2.0
Syrian Arab Republic,3,22125247.0,1.3559170661461994
Ukraine,3,41732779.0,0.7188593886834136
Iraq,2,40222503.0,0.4972340980371112
Guatemala,2,18092026.0,1.1054593885726232
Georgia,2,3714000.0,5.385029617662897
Nepal,2,29136808.0,0.6864169884360704
Mauritius,2,1265740.0,15.801033387583546
,2,,
Namibia,2,2587801.0,7.728569546112703
Cayman Islands,2,65720.0,304.32136335970785
"United Kingdom,",2,,
Lithuania,1,2794700.0,3.5782015958779114
Cuba,1,11326616.0,0.882876227109668
Nicaragua,1,6729403.0,1.4860159214717859
"Poland,",1,,
Uganda,1,45711874.0,0.21876154103854942
Dominican Republic,1,10847904.0,0.9218370664047174
Latvia,1,1867000.0,5.356186395286556
East Germany,1,16900000.0,0.591715976331361
Azerbaijan,1,10139177.0,0.9862733434873462
Samoa,1,222382.0,44.96766824653074
Afghanistan,1,39835428.0,0.25103282434922003
Panama,1,4314767.0,2.3176222493590037
Botswana,1,2429154.0,4.116659544845654
Vatican City,1,825.0,12121.212121212122
Sudan,1,44909350.0,0.22267078013821173
Jamaica,1,2961161.0,3.3770537974801096
Somalia,1,16359515.0,0.6112650650095679
Kazakhstan,1,19091949.0,0.5237809927105923
Liechtenstein,1,38128.0,262.27444397817874
Palestine,1,5263000.0,1.9000570017100513
Sri Lanka,1,21919000.0,0.45622519275514395
Cyprus,1,1207359.0,8.28254065278016
Burkina Faso,1,21929937.0,0.4559976620087874
Ethiopia,1,120283026.0,0.0831372499724109
Cameroon,1,27744989.0,0.36042544475328503
Angola,1,33933611.0,0.2946930699476693
Mozambique,1,32969518.0,0.3033104699923123
"Cambodia,",1,,
Belarus,1,9336490.0,1.0710663214976934
Puerto Rico,1,3285874.0,3.0433303285518556
Malawi,1,19129952.0,0.5227404647957298
Bahamas,1,393244.0,25.429504328101636
Paraguay,1,7132530.0,1.4020270507099164
"United States,",1,,
Albania,1,2837743.0,3.523927290103438
Slovakia,1,5456362.0,1.8327229754917287
Bermuda,1,63903.0,156.48717587593697
Ecuador,1,17930484.0,0.5577094293717895
Armenia,1,2963234.0,3.374691300113322
Mongolia,1,3322177.0,3.010074418069838
Montenegro,1,620739.0,16.109830379595934
